[util,task_no], Average Probability
['0.02-0.18', 11],0.140167
['0.02-0.18', 13],0.144663
['0.02-0.18', 15],0.143500
['0.02-0.18', 5],0.140207
['0.02-0.18', 7],0.141627
['0.02-0.18', 9],0.202438
['0.22-0.38', 11],0.255632
['0.22-0.38', 13],0.265039
['0.22-0.38', 15],0.242239
['0.22-0.38', 5],0.243016
['0.22-0.38', 7],0.240500
['0.22-0.38', 9],0.252391
['0.42-0.58', 11],0.280716
['0.42-0.58', 13],0.262933
['0.42-0.58', 15],0.269901
['0.42-0.58', 5],0.326467
['0.42-0.58', 7],0.264324
['0.42-0.58', 9],0.292120
['0.62-0.78', 11],0.387830
['0.62-0.78', 13],0.391426
['0.62-0.78', 15],0.386293
['0.62-0.78', 5],0.404988
['0.62-0.78', 7],0.389880
['0.62-0.78', 9],0.406000
['0.82-0.98', 11],0.338917
['0.82-0.98', 13],0.262871
['0.82-0.98', 15],0.260828
['0.82-0.98', 5],0.262107
['0.82-0.98', 7],0.260858
['0.82-0.98', 9],0.365622
